sample_id,latitude,longitude,spatial_block_id,regional_zone_id,label_status,manganese_associated,data_quality_flag,feature_distribution_distance,distance_to_nearest_known_manganese_occurrence_km,geological_group,geological_formation,stratigraphic_unit,lithology,host_rock,ore_host_compatibility_score,formation_contact_distance_km,geological_age_ma,metamorphic_grade,weathering_class,alteration_intensity,geological_complexity_score,distance_to_fault_km,distance_to_lineament_km,lineament_density_per_sq_km,lineament_intersection_density,shear_zone_proximity_km,structural_complexity_score,fold_position,fold_hinge_proximity_km,structural_orientation,distance_to_major_geological_contact_km,drainage_anomaly_score,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,curvature,terrain_ruggedness,local_relief_m,drainage_density,topographic_position_index,valley_or_ridge_class,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,MNDWI,BSI,B4_B2_ratio,B11_B12_ratio,B12_B8_ratio,B11_B8_ratio,gossan_alteration_index,red_edge_ratio_1,red_edge_ratio_2,VV,VH,VV_VH_ratio,radar_backscatter_mean,radar_texture,radar_roughness_proxy,aster_vnir_swir_proxy,aster_thermal_lithology_proxy,multisensor_spectral_anomaly_score
SAU-000011,21.68465,79.61402,BLK_014_005,ZONE_09,UNLABELLED,not_documented,ok,3.23931,12.11356,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss","Marble, calc-silicate rock, granulite/gneiss",0.2275,2.89381,1765.13816,medium (lower amphibolite),moderately weathered,0.189,0.5348,6.33127,5.37918,1.62155,1.09323,18.78934,0.5292,not_applicable,15.47153,ENE-WSW,0.02907,0.2921,260.0,3.76413,229.1064,-0.75593,-0.65466,1.0391,12.20916,54.76818,2.03615,-11.69847,valley,0.005,,0.005,,0.19348,0.23507,0.29654,0.2627,0.20958,0.21745,0.96684,0.17182,,-0.16849,1.0,0.96381,0.73329,0.70675,0.71161,,,-10.04033,-17.09306,7.05274,-13.5667,0.61567,0.67072,0.07136,0.2351,0.3499
SAU-000012,21.54561,79.7039,BLK_011_007,ZONE_09,POSITIVE,associated,ok,3.64617,1.13435,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9053,0.68338,2096.77456,low (greenschist),moderately weathered,0.1364,0.7973,0.99754,1.06235,2.1251,1.02777,5.24997,0.6637,hinge/closure,0.41639,E-W,2.35943,0.4343,385.83199,3.04642,343.7117,-0.28047,0.95986,0.217,7.94687,49.89101,1.51853,-4.96014,valley,0.04906,0.04238,0.07947,0.08365,,0.1563,0.17581,,0.3539,0.31073,0.37739,-0.3362,-0.78611,0.31675,1.61985,1.13893,1.76742,2.01297,1.9272,,1.8685,-13.45856,-21.50173,8.04316,-17.48015,0.13488,0.19213,,0.5531,0.3997
SAU-000013,21.69069,79.8682,BLK_014_010,ZONE_05,UNLABELLED,not_documented,ok,2.80491,3.74921,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.2299,3.90961,2136.51601,granulite facies,highly weathered / lateritic,0.3895,0.3797,0.56264,0.44885,1.52909,0.25567,3.78344,0.1857,not_applicable,14.59909,NW-SE,0.67754,0.5916,368.32386,,268.35407,-0.99959,-0.02872,0.2771,11.20143,51.39153,1.50206,-2.66854,slope,0.08852,0.08029,0.13202,0.12752,0.20681,0.20589,0.20028,0.20592,0.27533,,0.20542,-0.1578,-0.54845,0.17029,1.49141,,,1.37473,1.41049,1.62178,1.61457,-11.46032,-22.77255,11.31223,-17.11644,0.47361,0.55495,0.89422,1.0,0.3992
SAU-000014,21.45577,79.73607,BLK_010_007,ZONE_09,UNLABELLED,not_documented,ok,2.81191,10.67477,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.3012,10.80406,2393.49799,medium (lower amphibolite),highly weathered / lateritic,0.0851,0.4217,3.02032,1.7663,0.11473,0.0,2.84898,0.6908,limb,5.07717,N-S,1.08062,0.4775,454.70069,4.30233,316.72135,-0.68555,0.72803,0.1217,11.82083,52.44457,1.61143,-4.19473,valley,0.02785,0.07461,0.05943,0.10779,0.17001,0.20867,0.23872,0.22173,0.31836,0.28763,0.60134,-0.14296,-0.62028,0.17261,2.13393,1.10684,1.20488,1.33361,1.41723,1.57723,1.93589,-11.19739,-18.04765,6.85026,-14.62252,0.46842,0.8043,0.79551,0.7138,0.4349
SAU-000015,21.96476,80.52039,BLK_020_023,ZONE_06,UNLABELLED,not_documented,ok,3.24615,5.24973,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.2745,0.28788,2017.21195,high (upper amphibolite),moderately weathered,0.3201,0.6835,4.05433,2.06649,1.6956,1.06803,15.94092,1.0,limb,9.38818,ENE-WSW,2.0834,0.2394,449.45888,6.47199,113.68624,0.91576,-0.40173,-0.4478,12.20881,48.07608,1.4359,8.12829,ridge,0.05766,0.09765,0.06103,0.08361,0.31062,0.38312,0.38196,0.37417,0.20293,0.0812,0.72446,0.30609,-0.35026,-0.24967,1.05845,2.49914,0.21259,0.53129,0.60043,3.71511,4.58223,-7.96593,-13.25992,5.294,-10.61293,0.14704,0.51371,0.14884,0.6528,0.4491
SAU-000016,21.83038,80.22727,BLK_017_017,ZONE_03,UNLABELLED,not_documented,ok,2.91004,1.13141,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,0.5551,0.07291,1717.72539,low (greenschist),moderately weathered,0.9648,0.4316,4.79771,3.60898,2.11449,0.84596,2.90242,0.6935,not_applicable,12.81288,ENE-WSW,0.52591,0.0949,480.00393,4.95149,138.12741,0.66748,-0.74463,-0.1484,8.20354,37.48166,1.84142,5.0502,ridge,0.06645,0.10035,0.07642,0.10836,0.20771,0.2577,0.25459,0.26787,0.13814,0.07849,0.53826,0.29651,-0.15846,-0.19881,1.15004,1.75997,0.3083,0.5426,0.66833,1.91685,2.37818,-10.39277,-18.06021,7.66743,-14.22649,0.06591,0.71907,-0.95733,0.4889,0.1505
SAU-000017,21.98953,80.5018,BLK_020_023,ZONE_06,UNLABELLED,not_documented,ok,4.13263,3.93769,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9973,10.38308,1648.80123,low (greenschist),moderately weathered,0.2938,1.0,5.17648,3.3682,1.66826,0.45642,13.01725,1.0,not_applicable,8.90809,NNE-SSW,4.57097,,523.4028,3.34313,109.82844,0.94071,-0.3392,-1.0214,8.16507,29.14656,0.61658,15.13394,ridge,0.0269,0.06879,0.00638,0.0813,0.26103,0.2764,0.3363,0.3153,0.1642,0.11405,0.96276,0.34386,-0.4095,-0.36086,0.23717,1.43972,0.33913,0.48825,0.46966,3.2107,3.39975,-11.56373,-15.23949,3.67576,-13.40161,0.16558,0.20318,-0.37168,0.4525,0.2565
SAU-000018,21.82228,80.22789,BLK_017_017,ZONE_03,UNCERTAIN,ambiguous,ok,2.81441,1.9859,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.144,0.43152,1987.29126,high (upper amphibolite),moderately weathered,0.5157,0.6221,4.59675,3.03619,2.1687,0.85991,2.14831,0.7244,limb,12.51588,NW-SE,0.31335,0.156,462.01925,5.2119,136.42258,0.68933,-0.72444,-0.2147,8.61387,42.98782,1.10693,6.05104,ridge,0.0402,0.0796,0.04639,0.09115,0.2235,0.28382,0.28802,0.30654,0.1986,0.17739,0.72256,0.18376,-0.42775,-0.1452,1.15398,1.11957,0.61589,0.68954,0.74642,2.452,3.11377,-12.8639,-18.50115,5.63725,-15.68253,0.39619,0.5365,0.15332,0.7458,0.3766
SAU-000019,21.51664,79.76912,BLK_011_008,ZONE_09,UNLABELLED,not_documented,ok,2.57848,4.14984,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),Granite gneiss / migmatite (basement),0.2932,3.13679,2785.47527,high (upper amphibolite),highly weathered / lateritic,0.5905,0.8053,4.11949,4.24811,0.47228,0.57219,10.05936,0.5562,not_applicable,5.68304,NW-SE,,0.3367,433.04594,5.67807,356.92685,-0.05361,0.99856,0.0984,0.60382,14.83102,1.68033,-0.2733,slope,0.10336,0.07872,0.15108,0.15086,0.12852,0.1368,0.13459,0.16897,0.41255,0.28227,-0.05772,-0.50802,-0.67952,0.4063,1.46169,1.46154,2.09726,3.06524,2.36869,0.85192,0.9068,-14.49693,-24.64286,10.14593,-19.56989,0.05,0.40385,-0.00608,1.0,0.42
SAU-000020,21.77382,79.80202,BLK_016_009,ZONE_05,UNLABELLED,not_documented,ok,3.65507,7.7519,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9486,1.12323,1976.1968,granulite facies,highly weathered / lateritic,0.1135,1.0,4.24323,2.93168,1.42139,0.89698,14.49983,0.5607,not_applicable,18.76434,NNE-SSW,7.85946,0.2725,260.0,,225.96811,-0.71895,-0.69506,0.1709,0.5,30.01481,1.74355,-2.78797,slope,0.05302,0.05355,0.06999,0.08952,0.1805,0.20289,0.22139,0.24506,0.24936,0.16053,0.5196,-0.05942,-0.64643,0.07569,1.32007,1.55335,0.7251,1.12634,1.16377,2.01631,2.26642,-14.48838,-18.7153,4.22692,-16.60184,0.05,0.02,-0.67737,0.6981,0.2753
SAU-000021,21.51749,79.82247,BLK_011_009,ZONE_09,UNLABELLED,not_documented,ok,3.01939,8.09082,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.2054,5.45302,2529.65622,high (upper amphibolite),highly weathered / lateritic,0.3214,0.3919,5.45658,5.25082,1.65697,0.65905,12.96028,0.6525,not_applicable,8.897,NNE-SSW,1.23569,0.3075,494.90636,8.59436,13.07434,0.22622,0.97408,-0.2007,0.5,18.30966,0.95519,,ridge,0.06265,0.09829,0.08063,0.11065,0.18503,0.25591,0.23555,0.25477,0.37639,0.32435,0.48997,-0.23015,-0.58587,0.2103,1.28699,1.16044,1.37699,1.59792,1.5326,1.67221,2.31279,-14.37875,-22.79443,8.41568,-18.58659,0.05,0.05398,0.24548,0.8144,0.3152
SAU-000022,21.70346,79.75478,BLK_015_008,ZONE_05,UNLABELLED,not_documented,ok,3.12194,3.34328,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],1.0,0.77339,2059.80658,medium (lower amphibolite),moderately weathered,0.5055,0.5904,1.15153,0.88061,2.09165,1.13392,15.60314,0.7432,not_applicable,12.59075,NNE-SSW,0.19762,0.4206,316.70334,2.53854,264.32555,-0.9951,-0.09888,-0.1892,14.09198,54.9855,1.60503,2.13593,slope,0.08677,0.08751,0.11931,0.13163,0.13513,,0.1627,0.16297,0.27804,0.2081,0.15386,-0.2617,-0.52121,0.22863,1.37501,1.33609,1.27904,1.70891,1.59278,1.02659,,-10.49402,-21.00402,10.51,-15.74902,1.07881,0.58337,-0.60228,0.2424,0.5559
SAU-000023,21.60427,79.71332,BLK_013_007,ZONE_09,UNLABELLED,not_documented,ok,2.41251,6.3255,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.145,3.48886,2410.40815,granulite facies,moderately weathered,0.3092,0.3946,3.53373,2.48779,1.02237,0.54155,10.73898,0.6777,not_applicable,4.04598,NNE-SSW,1.49506,0.1452,422.46901,,331.038,-0.48423,0.87494,-0.0388,11.40103,38.38507,1.48419,-2.24019,slope,0.07385,0.10246,0.11436,0.12366,0.20118,0.23089,0.27204,0.24952,0.28447,0.22909,0.40807,-0.02234,-0.4704,0.07109,1.54854,1.24174,0.84212,1.04569,1.15305,1.62688,1.86714,-12.17521,-18.42502,6.24981,-15.30012,0.50079,0.83135,0.68885,1.0,0.4829
SAU-000024,21.52762,79.6975,BLK_011_006,ZONE_09,UNLABELLED,not_documented,ok,3.23994,2.50138,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,0.8288,0.95091,1935.59738,medium (lower amphibolite),highly weathered / lateritic,0.1872,0.3095,1.28022,0.58253,1.44864,0.56468,3.87356,0.6627,not_applicable,2.42636,ENE-WSW,1.14585,0.7415,361.00931,1.50536,339.06982,-0.35723,0.93402,0.2161,10.49902,47.70628,1.11121,-5.68263,valley,0.07823,0.08607,0.09944,0.12197,0.12631,0.14512,0.14833,0.14765,0.2619,0.19365,0.19732,-0.27684,-0.5053,0.22926,1.27112,1.35244,1.30553,1.76566,1.5949,1.03558,1.1898,-15.13303,-23.25249,8.11947,-19.19276,0.34921,,-0.24159,0.5107,0.4384
SAU-000025,21.52087,79.77561,BLK_011_008,ZONE_09,UNLABELLED,not_documented,ok,2.39835,4.07186,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,Biotite-muscovite schist/gneiss and biotite granulite,0.4501,0.2023,1638.10492,low (greenschist),highly weathered / lateritic,0.5148,0.6846,5.49195,4.03706,0.73766,1.16335,10.72377,0.465,limb,5.48317,N-S,0.55476,0.2163,474.36391,9.45876,357.1946,-0.04894,0.9988,-0.1711,6.01078,34.16058,1.52991,0.58985,slope,0.07522,0.09209,0.08259,0.12281,0.17263,0.20193,0.22007,0.19794,0.36166,0.32607,0.45424,-0.24339,-0.59409,0.20142,1.09798,1.10915,1.48166,1.64339,1.50445,1.40567,1.64425,-11.4372,-20.97753,9.54033,-16.20736,0.40175,0.3046,0.65639,0.6382,0.4047
SAU-000026,21.81923,80.2511,BLK_017_018,ZONE_03,UNLABELLED,not_documented,ok,2.58382,3.09942,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.5698,1.21051,2094.6509,medium (lower amphibolite),moderately weathered,0.4475,0.5088,2.51304,1.62355,1.40724,0.42837,0.43332,0.541,not_applicable,10.10818,NNE-SSW,1.97389,0.6035,432.20761,9.55516,140.54998,0.6354,-0.77218,-0.1265,11.34923,52.32634,1.85948,3.84181,ridge,0.0418,0.08947,0.02449,0.06776,0.27007,0.27339,0.33008,0.33922,0.10295,0.03891,0.86186,0.52451,-0.07006,-0.48955,0.58589,2.64585,0.11788,0.31189,0.34269,3.98568,4.03468,-7.9582,-14.81738,6.85918,-11.38779,0.78635,,-0.07436,,0.3377
SAU-000027,21.98448,80.49152,BLK_020_022,ZONE_06,UNLABELLED,not_documented,ok,3.20289,2.74367,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,Marble and calc-silicate rock,0.5963,1.24701,2093.70981,high (upper amphibolite),fresh / slightly weathered,0.3708,1.0,2.62776,2.16903,1.66689,0.78387,12.27965,1.0,limb,7.72594,NNE-SSW,1.26377,0.4551,470.32919,4.77352,90.72346,0.99992,-0.01263,-1.126,11.06681,50.37402,1.34264,19.32175,ridge,0.04614,0.07796,0.05715,0.05751,0.19671,0.25011,0.31235,0.271,,0.12108,0.69066,,,,1.23862,,0.38764,,,3.42045,4.34898,-10.49057,-19.13596,8.64539,-14.81327,0.2379,0.36543,-1.27828,0.3693,0.213
SAU-000028,21.82567,80.15314,BLK_017_016,ZONE_03,UNLABELLED,not_documented,ok,3.66219,4.19754,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9527,2.10132,1720.95305,low (greenschist),fresh / slightly weathered,0.3269,0.6478,1.9137,1.50984,2.1225,1.37398,2.06323,0.5213,not_applicable,20.08238,NNE-SSW,3.33085,0.4152,503.57093,5.00911,90.28244,0.99999,-0.00493,-0.2189,3.98378,18.41315,1.34892,6.65928,,0.04565,0.09101,0.03766,0.09912,0.22783,0.28822,0.32863,0.33562,0.14541,0.10357,0.79437,0.38651,-0.2301,-0.34307,0.82497,1.40398,0.31516,0.44247,0.48913,2.29853,2.90779,-8.71617,-18.67309,9.95692,-13.69463,0.05,0.02,0.09528,0.5817,0.399
