latitude,longitude,raw_model_score,prospectivity_score,prospectivity_class,geological_group,geological_formation,stratigraphic_unit,lithology
21.82567,80.15314,0.24546741677896056,83.67750000000001,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.78921,80.17422,0.8850761178423705,92.93249999999999,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.74764,80.08175,0.01971462735275053,63.46000000000001,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,,"Biotite gneiss (potassic, migmatitic)"
21.80484,80.02183,0.01910379955093644,62.88249999999999,HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.51218,79.63866,0.013676722591354062,33.0475,LOW,Sausar Group,Bichua Formation,,Marble and calc-silicate rock
21.69572,79.74174,0.9361461941812348,98.0875,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.65818,79.73055,0.22708852315474587,83.1825,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.97971,80.48005,0.9417416413106091,99.3075,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.84,80.24495,0.9285203777970614,96.67750000000001,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.80993,80.19919,0.9365976530515142,98.20750000000001,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.9549,80.46306,0.9026196869673293,94.05250000000001,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.82657,80.23346,0.774620310207374,90.3375,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.81495,80.01812,0.018729069336114696,62.22,HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.73556,79.7293,0.013832835790784676,44.1125,MODERATE,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium
21.52004,79.70509,0.013676722591354062,33.0475,LOW,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.77496,80.01497,0.023967222548269013,66.3675,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.65558,79.72552,0.36533781249613595,85.8275,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.53854,79.7289,0.683314338308747,89.2525,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.62601,79.79415,0.052534298930508344,74.2225,HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.66982,79.75826,0.19196063587873222,82.35249999999999,VERY HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.86844,80.24855,0.01805176490481073,60.8325,HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.77616,80.01056,0.1788403390736518,81.9425,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.79146,80.19958,0.8868044984260144,93.0575,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.83528,80.23927,0.8772245596256744,92.5675,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.8319,80.20232,0.6428749929937989,88.91250000000001,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.63689,79.75958,0.02013971391173111,63.8325,HIGH,Sausar Group,Sitasaongi Formation,,Quartz-muscovite schist and gneiss
21.7691,80.00437,0.1917419001430081,82.33749999999999,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.80468,80.00392,0.01574341219399376,55.4975,MODERATE,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.53459,79.75088,0.8426106931386654,91.4225,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.96703,80.44759,0.5289542589448251,87.8725,VERY HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.75705,79.84599,0.1342660617026419,80.3575,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.86018,80.08026,0.013832835790784676,44.1125,MODERATE,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement)
21.72233,80.15083,0.01342893361845518,2.6775,VERY LOW,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.68264,80.04334,0.019876594195310064,63.607499999999995,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,,"Biotite gneiss (potassic, migmatitic)"
22.01717,80.42296,0.047618653781820314,73.4975,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,,"Biotite gneiss (potassic, migmatitic)"
21.73754,79.87415,0.040325440105140296,72.1075,HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.57145,79.73643,0.35279225312789053,85.6775,VERY HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.7066,79.83664,0.8925699399889208,93.3425,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.94179,80.47186,0.35141502484956777,85.6375,VERY HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.91036,80.53753,0.013832835790784676,44.1125,MODERATE,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement)
21.66257,79.82051,0.030153220814935457,69.3275,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.7741,80.03479,0.03124999226307386,69.7075,HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.65615,79.76162,0.09547156244572003,78.21249999999999,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.85171,80.23005,0.9347137634235645,97.7625,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.66462,79.68112,0.10292224504079275,78.7025,HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.52301,79.63468,0.013676722591354062,33.0475,LOW,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.74613,80.24283,0.013832835790784676,44.1125,MODERATE,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium
21.77684,80.18662,0.1969640839677469,82.4675,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.85247,80.22799,0.9120589478861536,94.8125,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.83181,80.24103,0.9343835193250153,97.6725,VERY HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.76782,80.03603,0.035202230856582604,70.8475,HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.96303,80.49208,0.020296785408008937,63.947500000000005,HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.5581,79.72519,0.9257751750355511,96.27250000000001,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.77566,80.07845,0.036400787651241794,71.1825,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.65736,79.7371,0.4481027583212866,87.0375,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.52178,79.73127,0.013676722591354062,33.0475,LOW,Sausar Group,,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.8435,80.22277,0.9148851376373681,95.04249999999999,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.78465,80.19376,0.7443577318116427,89.91749999999999,VERY HIGH,Sausar Group,Junewani Formation,,Biotite-muscovite schist/gneiss and biotite granulite
21.78242,80.18467,0.4771534282305919,87.3775,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.77636,80.01348,0.0421178352446025,72.4425,HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.96954,80.4975,0.03599742088158748,71.05749999999999,HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.84852,80.23103,0.9183396757738135,95.3725,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.95107,80.45365,0.22732218741457672,83.1925,VERY HIGH,Sausar Group,Mansar Formation,,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.83397,80.16561,0.6273880294273918,88.7975,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.80301,79.9294,0.02647807385634618,67.8025,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.98433,80.46043,0.9350786179061269,97.8425,VERY HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.71482,79.71103,0.3685639561204373,85.8925,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.6973,79.71537,0.9289994836308743,96.7475,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.72281,79.85808,0.9218854375751886,95.76750000000001,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.70495,79.82264,0.3516789560336839,85.6475,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.76155,80.17648,0.013832835790784676,44.1125,MODERATE,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement)
21.8449,80.1637,0.0976891043123302,78.3425,HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.56305,79.79795,0.09140446712430528,77.8875,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.56188,79.71657,0.9220182149749844,95.78750000000001,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.79055,80.02399,0.02856702556219628,68.7125,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.84498,80.24802,0.88743168533602,93.0875,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.5466,79.70433,0.77223114115269,90.28500000000001,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.52068,79.68232,0.013676722591354062,33.0475,LOW,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.85238,79.92161,0.013832835790784676,44.1125,MODERATE,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement)
21.96237,80.43093,0.357217675686607,85.7375,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.87644,80.27638,0.01822366195279032,61.152499999999996,HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.73662,80.16187,0.07805093466320717,76.9475,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.53053,79.8015,0.013676722591354062,33.0475,LOW,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
22.05343,80.55298,0.01748363396483065,59.8875,MODERATE,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.8445,80.23437,0.8695921919973705,92.3325,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.66786,79.71556,0.6420571653202288,88.90249999999999,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.748,79.87117,0.03938407192391706,71.9425,HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.85344,80.24517,0.869552962764526,92.3275,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.52684,79.73892,0.013676722591354062,33.0475,LOW,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.51966,79.71675,0.013648922332733284,22.1875,LOW,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.82439,80.02974,0.0685545306781689,76.13250000000001,HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.62481,79.76177,0.08019514629896878,77.1525,HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.74142,79.8794,0.10709455622144892,78.9625,HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.7224,79.84854,0.9319083532344435,97.2025,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.69431,79.84808,0.2272035077678878,83.1875,VERY HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.77177,80.14832,0.10866802465826152,79.0925,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.64294,79.67218,0.013832835790784676,44.1125,MODERATE,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium
21.74329,80.15737,0.047777735129246955,73.5425,HIGH,Sausar Group,Lohangi Formation,,"Marble, calc-silicate rock, granulite/gneiss"
21.945,80.44968,0.02550677885772028,67.2325,HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.66892,79.7459,0.8246692283340116,91.0225,VERY HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.78637,80.15144,0.18580285891800472,82.1575,VERY HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.80374,80.17741,0.9341335227890145,97.6175,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.69865,79.85231,0.07503512516011403,76.7325,HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.91661,80.22625,0.08534602548848999,77.5025,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.51759,79.69609,0.013676722591354062,33.0475,LOW,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.76357,79.84113,0.16511463712281424,81.43249999999999,VERY HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.68421,79.72057,0.9404339206106304,98.97500000000001,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.65236,79.84509,0.5301832097624187,87.8925,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.77829,80.16057,0.32313717716463136,85.1575,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.57219,79.73368,0.3599730593691783,85.7575,VERY HIGH,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss
21.98655,80.41936,0.08686529421722679,77.6125,HIGH,Sausar Group,Mansar Formation,,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.48982,79.77975,0.013676722591354062,33.0475,LOW,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.79922,80.22424,0.0997723232745586,78.49249999999999,HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.97637,80.43787,0.4144089381246231,86.6475,VERY HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.97619,80.48103,0.9382214904410748,98.4875,VERY HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.5567,79.6876,0.9334575447704194,97.4675,VERY HIGH,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon
21.72241,79.80943,0.4302557725364206,86.8225,VERY HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.98936,80.51158,0.022791143171043714,65.62249999999999,HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.8033,80.26523,0.0756302039476221,76.7775,HIGH,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite
21.6789,79.71339,0.8948639621224187,93.4525,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.98088,80.45004,0.8074693850904313,90.8025,VERY HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
21.99261,80.43797,0.02059805393306805,64.22,HIGH,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock
21.80423,80.2081,0.8403551319337527,91.3725,VERY HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.5334,79.59528,0.013832835790784676,44.1125,MODERATE,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement)
21.55325,79.67158,0.021282084765341252,64.6725,HIGH,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)"
21.83761,80.15538,0.22861306212157045,83.2175,VERY HIGH,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss"
21.91935,80.43504,0.18798932967671458,82.2225,VERY HIGH,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite
