target_id,latitude,longitude,prospectivity_score,prospectivity_class,formation,lithology,nearest_mine,nearest_mine_dist_km,is_greenfield,occurrence_status
GST-21,21.6879,79.7539,94.3,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,"Tirodi Mine (MOIL, opencast)",2.8,False,"Near Tirodi Mine (MOIL, opencast) (2.8 km)"
GST-22,21.8067,80.1662,94.3,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Balaghat Mine (MOIL),7.5,True,Undiscovered / Greenfield
GST-23,21.8014,80.215,92.4,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Balaghat Mine (MOIL),4.0,False,Near Balaghat Mine (MOIL) (4.0 km)
GST-24,21.8425,80.1816,89.9,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,"Bharveli (Bharweli) Mine, Awalajhari (MOIL)",5.1,True,Undiscovered / Greenfield
GST-25,21.7759,80.1636,89.8,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Balaghat Mine (MOIL),9.6,True,Undiscovered / Greenfield
GST-26,21.5382,79.7885,89.5,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,"Dongri Buzurg Mine (MOIL, opencast)",9.9,True,Undiscovered / Greenfield
GST-27,21.656,79.708,89.0,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,"Tirodi Mine (MOIL, opencast)",3.7,False,"Near Tirodi Mine (MOIL, opencast) (3.7 km)"
GST-28,21.6889,79.8584,88.9,VERY HIGH,Sitasaongi Formation,Quartz-muscovite schist and gneiss,"Tirodi Mine (MOIL, opencast)",13.6,True,Undiscovered / Greenfield
GST-29,21.5641,79.7813,88.9,VERY HIGH,Mansar Formation,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,"Dongri Buzurg Mine (MOIL, opencast)",9.2,True,Undiscovered / Greenfield
GST-30,21.6863,79.779,88.7,VERY HIGH,Lohangi Formation,"Marble, calc-silicate rock, granulite/gneiss","Tirodi Mine (MOIL, opencast)",5.4,True,Undiscovered / Greenfield
