sample_id,name,latitude,longitude,coordinate_precision,district,state,locality_type,label_status,geological_group,formation,host_rock,ore_type,structural_notes,geological_age,metamorphic_grade,distance_to_nearest_known_mn_km,fault_lineament_distance_km,lineament_density_per_sqkm,structural_intersection_flag,elevation_m,slope_deg,aspect_deg,curvature,drainage_density,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B11,s2_B12,ndvi,ndmi,bsi,iron_oxide_index,s1_VV,s1_VH,notes,data_source,source_url
11,"Dongri Buzurg Mine (MOIL, opencast)",21.55,79.6941,village-level approx (Dongri Buzurg village/railway station coordinate),Bhandara,Maharashtra,MOIL_active_opencast_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,"Mn-oxide ore (supergene-enriched, produces MnO2 for dry-battery industry)",Mn-oxide (pyrolusite-rich) ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,Produces manganese dioxide ore for dry-battery industry and Mn micro-nutrient feed/fertilizer grade,"Roy, S. (1959) Economic Geology 54:1556-1574; Wikipedia (Dongri Buzurg railway station); MOIL corporate info",https://en.wikipedia.org/wiki/Dongri_Buzurg_railway_station
12,background_grid_0001,20.6,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,92.66,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
13,background_grid_0002,20.6,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,90.31,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
14,background_grid_0003,20.6,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,89.11,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
15,background_grid_0004,20.6,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,89.11,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
16,background_grid_0005,20.6,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,90.31,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
17,background_grid_0006,20.6,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,92.66,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
18,background_grid_0007,20.6,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,96.09,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
19,background_grid_0008,20.6,79.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,100.48,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
20,background_grid_0009,20.6,79.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,105.7,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
21,background_grid_0010,20.6,79.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,107.77,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
22,background_grid_0011,20.6,80.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,110.3,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
23,background_grid_0012,20.6,80.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,113.72,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
24,background_grid_0013,20.6,80.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,117.96,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
25,background_grid_0014,20.6,80.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,122.93,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
26,background_grid_0015,20.6,80.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,128.54,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
27,background_grid_0016,20.6,80.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,134.72,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
28,background_grid_0017,20.6,80.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,141.4,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
29,background_grid_0018,20.6,80.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,145.42,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
30,background_grid_0019,20.6,80.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,149.19,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
31,background_grid_0020,20.6,80.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,153.57,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
32,background_grid_0021,20.7,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,82.05,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
33,background_grid_0022,20.7,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,79.38,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
34,background_grid_0023,20.7,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,78.01,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
35,background_grid_0024,20.7,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,78.01,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
36,background_grid_0025,20.7,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,79.38,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
37,background_grid_0026,20.7,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,82.05,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
38,background_grid_0027,20.7,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,85.89,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
39,background_grid_0028,20.7,79.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,90.77,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
40,background_grid_0029,20.7,79.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,95.15,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
41,background_grid_0030,20.7,79.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,96.9,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
42,background_grid_0031,20.7,80.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
43,background_grid_0032,20.7,80.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,103.47,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
44,background_grid_0033,20.7,80.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,108.1,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
45,background_grid_0034,20.7,80.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,113.5,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
46,background_grid_0035,20.7,80.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,119.56,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
47,background_grid_0036,20.7,80.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,126.18,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
48,background_grid_0037,20.7,80.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,131.62,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
49,background_grid_0038,20.7,80.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,134.98,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
50,background_grid_0039,20.7,80.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,139.03,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
51,background_grid_0040,20.7,80.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,143.71,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
52,background_grid_0041,20.8,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,71.58,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
53,background_grid_0042,20.8,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,68.51,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
54,background_grid_0043,20.8,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,66.92,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
55,background_grid_0044,20.8,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,66.92,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
56,background_grid_0045,20.8,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,68.51,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
57,background_grid_0046,20.8,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,71.58,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
58,background_grid_0047,20.8,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,75.96,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
59,background_grid_0048,20.8,79.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,81.43,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
60,background_grid_0049,20.8,79.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,84.12,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
61,background_grid_0050,20.8,79.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,86.09,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
62,background_grid_0051,20.8,80.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,89.22,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
63,background_grid_0052,20.8,80.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,93.41,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
64,background_grid_0053,20.8,80.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,98.52,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
65,background_grid_0054,20.8,80.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,104.41,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
