date,mine_id,month,quarter,day_of_week,planned_production_tpd,actual_production_tpd,total_trucks,available_trucks,active_trucks,total_shovels,available_shovels,active_shovels,truck_availability_pct,shovel_availability_pct,truck_utilization_pct,shovel_utilization_pct,truck_downtime_hours,shovel_downtime_hours,truck_breakdown_events,shovel_breakdown_events,maintenance_delay_hours,haul_distance_km,average_loaded_travel_time_min,average_empty_travel_time_min,average_loading_time_min,average_dumping_time_min,average_cycle_time_min,truck_cycles,queue_delay_min,haulage_delay_hours,operating_hours,effective_operating_hours,overall_utilization_pct,loading_efficiency_pct,haulage_efficiency_pct,blasting_delay_hours,shift_delay_hours,fragmentation_index,weather_disruption_hours,rainfall_mm,temperature_c,soil_moisture_index,ground_condition_index,ore_feed_tonnes,ore_grade_pct,waste_to_ore_ratio
2021-01-18,MINE_01,1,1,Monday,2672.0,2406.0,18,16,15,4,4,3,88.9,100.0,94.1,98.7,11.9,0.0,1,0,1.4,4.23,11.1,8.9,5.0,0.8,26.6,36,0.7,0.5,21.1,18.8,89.1,76.2,82.7,0.0,1.3,62.9,0.0,0.4,22.0,15.6,11.7,9401.36896123757,0.7208245230307835,1.4730036486988918
2021-01-19,MINE_01,1,1,Tuesday,2542.0,921.0,18,18,17,4,2,1,100.0,50.0,86.5,88.2,0.0,8.7,0,1,1.2,4.33,10.6,7.5,4.4,1.8,47.5,23,23.2,0.9,22.1,20.2,91.8,74.9,83.4,0.0,0.0,77.4,0.0,0.1,22.4,8.1,17.4,11434.932369608743,0.765354725620936,1.0166836914629367
2021-01-20,MINE_01,1,1,Wednesday,3083.0,1984.0,18,17,16,4,4,3,94.4,100.0,92.6,74.5,6.4,0.6,1,0,1.1,4.62,10.9,8.9,6.3,2.0,30.6,34,2.5,0.4,21.7,20.7,95.4,74.5,85.4,0.0,0.2,52.5,0.0,2.0,24.0,12.0,10.7,7761.994460954215,0.6471446335456883,1.1877725090586349
2021-01-21,MINE_01,1,1,Thursday,2944.0,2833.0,18,18,15,4,4,3,100.0,100.0,85.0,96.9,0.1,0.1,0,0,0.0,4.25,9.9,6.4,4.4,2.0,22.7,57,0.0,0.0,24.0,23.7,98.8,72.5,92.5,0.0,0.0,64.8,0.3,0.4,23.4,4.4,14.7,13767.226798230522,0.7356452000605629,0.9918330850790289
2021-01-22,MINE_01,1,1,Friday,2956.0,2191.0,18,17,15,4,4,3,94.4,100.0,91.4,94.8,3.9,0.0,1,0,0.3,4.08,12.2,8.3,5.2,1.2,27.0,39,0.0,0.1,22.5,22.2,98.9,75.0,83.9,0.0,0.0,67.2,0.0,0.4,24.8,7.4,9.6,9505.476128323693,0.6782082928478055,1.5772068129705352
2021-01-23,MINE_01,1,1,Saturday,2712.0,2542.0,18,18,14,4,4,3,100.0,100.0,87.0,84.6,0.1,0.1,0,0,0.1,3.69,8.7,4.6,3.4,1.9,19.6,47,1.0,0.2,22.6,19.9,88.2,88.5,82.7,1.8,0.7,97.2,0.0,0.7,24.1,4.7,7.9,8632.470143307444,0.6968724288777235,1.3409279662353009
2021-01-24,MINE_01,1,1,Sunday,2789.0,3056.0,18,18,14,4,4,4,100.0,100.0,86.6,85.1,0.2,0.9,0,0,0.2,3.94,10.7,6.1,3.9,1.7,22.7,46,0.3,0.1,23.1,22.9,99.1,71.5,89.5,0.0,0.0,56.9,0.0,1.5,21.3,14.3,15.7,10242.283991892486,0.7878877924526273,1.487229904897552
2021-01-26,MINE_01,1,1,Tuesday,2824.0,1589.0,18,16,14,4,4,3,88.9,100.0,86.9,93.6,17.3,0.7,1,0,2.5,4.32,11.8,8.2,5.6,1.4,28.6,29,1.6,0.2,20.0,17.2,86.3,75.2,80.7,1.3,0.0,50.1,0.1,7.5,24.5,4.8,11.3,12383.741999621283,0.6614159779072176,1.38565165067632
2021-01-27,MINE_01,1,1,Wednesday,2874.0,2635.0,18,18,17,4,4,3,100.0,100.0,74.3,100.0,0.1,0.1,0,0,0.1,4.12,8.4,7.2,5.8,1.4,23.9,53,1.2,0.1,23.3,22.5,96.6,75.8,88.7,0.0,0.7,55.5,0.0,0.4,24.5,10.0,9.8,11984.72638603459,0.677800493187661,1.4666639249927769
2021-01-28,MINE_01,1,1,Thursday,2709.0,1899.0,18,18,16,4,3,2,100.0,75.0,80.1,91.7,0.7,7.4,0,1,1.0,3.96,10.0,5.8,3.8,2.0,28.0,38,6.3,0.5,22.3,20.1,89.8,85.8,78.1,0.0,0.8,89.1,0.0,0.8,23.4,10.2,13.6,11311.567898291432,0.6270646924025135,1.3054805421285995
2021-01-31,MINE_01,1,1,Sunday,2501.0,2797.0,18,17,16,4,4,4,94.4,100.0,94.4,84.2,4.6,1.6,1,0,0.7,4.35,10.4,7.8,3.4,1.5,24.0,46,0.9,0.1,22.1,21.5,97.4,80.3,83.4,0.0,0.0,77.4,0.0,0.0,27.7,9.1,13.4,11256.35464241435,0.7256072688103957,1.3322597963155234
2021-02-01,MINE_01,2,1,Monday,3007.0,2727.0,18,18,16,4,4,3,100.0,100.0,91.2,92.4,0.3,0.1,0,0,0.2,4.21,9.4,6.3,5.0,1.9,22.5,49,0.0,0.0,20.8,20.7,99.6,77.4,91.4,0.0,0.0,73.3,0.0,0.2,25.8,0.0,13.3,16230.95846546677,0.6459070188296865,1.3546224304484562
2021-02-02,MINE_01,2,1,Tuesday,2702.0,1789.0,18,17,15,4,3,3,94.4,75.0,91.1,84.5,5.2,9.8,1,1,1.7,3.91,10.4,6.2,5.3,1.9,25.1,32,1.3,0.1,18.8,16.9,89.8,75.8,84.2,0.0,0.0,60.1,0.0,0.2,26.4,0.3,5.6,10042.717298421776,0.7329905711054898,1.4540952451957505
2021-02-03,MINE_01,2,1,Wednesday,2800.0,2369.0,18,18,17,4,4,3,100.0,100.0,79.5,83.9,1.0,0.2,0,0,0.5,4.56,8.1,6.4,4.1,1.4,21.8,52,1.9,0.5,21.6,21.2,98.1,76.6,93.2,0.0,0.0,64.1,0.0,2.1,26.5,9.9,6.9,10080.42713535519,0.5859962699394847,1.4593925984539102
2021-02-04,MINE_01,2,1,Thursday,2573.0,2493.0,18,18,16,4,4,3,100.0,100.0,84.5,87.6,1.0,0.0,0,0,0.2,4.2,10.0,6.3,3.5,2.6,24.1,48,1.7,0.1,20.8,20.6,99.4,73.5,91.4,0.0,0.0,62.9,0.0,1.8,24.8,5.6,5.0,9242.328088328433,0.7069165921862999,1.9352562910117737
2021-02-06,MINE_01,2,1,Saturday,2498.0,2697.0,18,18,16,4,4,3,100.0,100.0,93.9,93.1,0.0,0.2,0,0,0.3,4.05,10.4,7.5,5.1,1.5,26.7,41,2.1,0.2,23.0,22.8,99.2,79.0,91.5,0.0,0.0,57.5,0.0,0.0,26.6,5.4,19.8,12703.394289302101,0.6413383664019834,1.709289339686226
2021-02-08,MINE_01,2,1,Monday,2577.0,3239.0,18,18,17,4,4,3,100.0,100.0,79.4,95.1,0.5,0.5,0,0,0.3,4.26,7.9,5.8,4.7,1.5,21.2,62,1.2,0.4,23.9,23.6,98.6,83.9,82.6,0.0,0.0,73.4,0.0,0.1,26.5,6.5,0.0,10758.494107452307,0.716919968398613,1.0172171570323774
2021-02-09,MINE_01,2,1,Tuesday,2903.0,2665.0,18,18,15,4,4,3,100.0,100.0,83.6,80.8,0.1,1.0,0,0,0.4,4.38,10.1,6.3,3.2,1.4,22.1,52,1.0,0.1,22.7,22.4,98.7,81.1,88.7,0.0,0.0,75.1,0.0,0.4,25.4,4.3,1.5,10138.635601628874,0.6759957437284689,1.3443478186248536
2021-02-10,MINE_01,2,1,Wednesday,2821.0,2367.0,18,18,16,4,4,4,100.0,100.0,78.7,84.9,0.2,0.8,0,0,0.1,4.28,9.6,6.9,6.0,1.8,24.3,45,0.0,0.3,21.7,20.4,93.6,66.8,92.1,1.1,0.0,53.1,0.0,0.0,24.6,3.1,6.8,7767.15344602741,0.6472978579176955,1.2917897461572054
2021-02-11,MINE_01,2,1,Thursday,2864.0,3131.0,18,18,16,4,4,3,100.0,100.0,91.3,78.7,0.1,0.0,0,0,0.2,4.58,10.3,8.0,4.3,1.5,24.6,49,0.4,0.1,23.7,23.6,99.6,84.7,91.2,0.0,0.0,57.1,0.0,0.2,26.5,8.3,6.5,9290.254332485794,0.6554807193072718,1.6289950103723048
2021-02-12,MINE_01,2,1,Friday,2326.0,2204.0,18,17,14,4,4,3,94.4,100.0,83.3,94.9,8.5,0.7,1,0,0.9,4.02,9.4,5.6,4.2,2.0,23.5,39,2.4,0.1,20.8,20.2,97.0,76.2,89.3,0.0,0.0,75.7,0.0,1.4,27.4,1.5,10.1,13724.919307976495,0.6299701417322263,1.3098193216900615
2021-02-13,MINE_01,2,1,Saturday,2385.0,2632.0,18,18,15,4,4,3,100.0,100.0,94.9,90.8,0.1,0.0,0,0,0.3,4.08,9.3,7.8,3.4,2.1,23.9,52,1.3,0.0,22.6,22.5,99.6,91.5,84.2,0.0,0.0,87.6,0.0,0.4,26.8,6.5,12.3,11419.185828885873,0.7228198247780987,1.465826689699638
2021-02-14,MINE_01,2,1,Sunday,2435.0,2301.0,18,18,16,4,4,3,100.0,100.0,88.7,91.1,0.0,0.9,0,0,0.2,4.56,9.5,9.2,5.0,2.0,25.7,41,0.0,0.2,22.1,21.3,96.5,68.7,95.8,0.0,0.5,65.4,0.0,0.3,26.7,5.8,5.6,11710.55924591013,0.6190664440170537,0.9055565881542809
2021-02-15,MINE_01,2,1,Monday,2686.0,2378.0,18,18,16,4,4,3,100.0,100.0,89.5,88.3,0.3,0.0,0,0,0.1,4.0,10.6,7.3,4.3,1.7,27.2,43,3.2,0.2,22.9,22.1,96.4,76.6,82.1,0.0,0.7,82.5,0.0,1.4,27.1,9.0,17.7,10006.254983154444,0.6620521731051476,1.070248751931649
2021-02-16,MINE_01,2,1,Tuesday,2892.0,1507.0,18,18,17,4,3,2,100.0,75.0,90.5,90.2,0.0,7.6,0,1,0.7,4.02,9.4,6.2,4.4,1.1,25.1,40,3.9,0.2,20.4,17.9,87.5,69.3,86.1,1.3,0.0,62.2,0.0,0.6,26.8,18.2,9.6,8673.065759634577,0.6957296751190876,1.791427550030797
2021-02-17,MINE_01,2,1,Wednesday,2389.0,2959.0,18,18,15,4,4,3,100.0,100.0,96.8,90.5,0.5,0.1,0,0,0.1,3.82,8.1,6.5,6.4,1.0,23.3,46,1.3,0.1,23.9,22.7,94.9,77.8,79.5,1.1,0.0,46.5,0.0,0.4,29.6,4.6,3.9,10149.8433063894,0.76548369713512,1.3830177938519541
2021-02-18,MINE_01,2,1,Thursday,2592.0,2452.0,18,18,15,4,4,3,100.0,100.0,91.2,90.4,0.6,0.8,0,0,0.7,3.99,9.8,5.9,4.6,2.5,22.8,47,0.0,0.1,22.4,20.6,91.9,87.5,80.3,0.9,0.6,77.7,0.0,0.1,28.0,9.9,18.3,11305.000148544028,0.6762300751864017,1.173276909516501
2021-02-19,MINE_01,2,1,Friday,2792.0,2657.0,18,18,17,4,4,3,100.0,100.0,94.7,83.8,0.7,0.0,0,0,0.1,3.9,6.6,6.3,4.7,2.2,21.0,53,1.3,0.1,22.1,22.0,99.6,77.1,90.6,0.0,0.0,68.2,0.0,0.3,27.0,9.3,3.6,8713.454346820858,0.6634034159758373,1.4215430884548126
2021-02-21,MINE_01,2,1,Sunday,2513.0,1463.0,18,18,17,4,3,2,100.0,75.0,83.8,93.8,0.2,3.0,0,0,0.3,3.96,8.2,7.0,4.6,1.2,27.3,42,6.3,0.3,20.4,19.8,97.1,75.7,77.7,0.0,0.0,68.7,0.0,0.4,25.5,10.8,12.7,9850.65993108516,0.691791415816833,1.1623571235198018
2021-02-22,MINE_01,2,1,Monday,2611.0,2580.0,18,18,17,4,3,3,100.0,75.0,83.1,95.7,1.5,1.6,0,0,0.3,4.26,9.5,6.9,4.4,1.7,26.8,43,4.2,0.2,23.0,22.6,98.2,75.9,85.9,0.0,0.0,65.3,0.0,0.2,27.9,7.5,17.0,13153.922415960064,0.5627009663733579,1.3162942058311682
2021-02-23,MINE_01,2,1,Tuesday,2590.0,1707.0,18,17,14,4,3,2,94.4,75.0,78.9,90.5,7.8,4.6,1,1,1.3,3.94,7.2,6.1,4.9,1.8,24.2,38,4.3,0.2,21.6,20.3,94.1,78.2,93.2,0.0,0.0,51.0,0.0,0.0,27.5,13.8,0.0,11679.382044376382,0.6108159846974619,1.0824453263615017
2021-02-25,MINE_01,2,1,Thursday,2875.0,786.0,18,18,15,4,2,1,100.0,50.0,90.6,87.1,1.4,9.0,0,1,1.2,4.06,10.3,6.6,5.6,2.5,42.2,26,17.2,0.8,23.2,21.4,92.1,63.8,72.1,0.0,0.0,59.5,0.0,1.6,27.7,11.9,10.1,11460.060584093451,0.6560963407971366,1.2152246706516188
2021-02-28,MINE_01,2,1,Sunday,2459.0,2748.0,18,18,15,4,4,3,100.0,100.0,84.9,99.8,0.1,0.2,0,0,0.4,3.91,10.4,7.0,5.2,1.8,25.5,40,1.2,0.1,21.9,21.7,99.1,81.1,81.5,0.0,0.0,76.1,0.0,0.1,30.4,11.0,15.8,12784.752447074014,0.6375281949451556,1.2897015763185793
2021-03-01,MINE_01,3,1,Monday,2383.0,2667.0,18,18,14,4,4,3,100.0,100.0,87.1,93.2,0.1,0.3,0,0,0.9,4.06,11.1,6.2,4.5,1.4,23.6,43,0.4,0.0,21.9,21.6,98.6,83.6,81.7,0.0,0.0,78.3,0.0,0.0,29.3,2.3,4.9,8358.87989946596,0.5886956673270638,1.597108777077647
2021-03-02,MINE_01,3,1,Tuesday,2363.0,1677.0,18,17,14,4,4,3,94.4,100.0,87.7,78.9,6.6,0.0,1,0,0.7,4.35,9.1,6.6,4.6,1.5,22.4,43,0.7,0.0,21.8,20.5,93.9,75.1,88.6,0.0,0.9,55.8,0.0,0.0,27.0,8.4,9.9,10599.865644742062,0.7239193240496686,1.4657781157469367
2021-03-04,MINE_01,3,1,Thursday,2796.0,2906.0,18,18,16,4,4,4,100.0,100.0,90.4,92.5,2.3,0.4,0,0,0.6,4.34,11.3,7.2,4.3,2.0,24.9,44,0.1,0.1,21.1,20.8,98.4,85.1,93.2,0.0,0.0,71.9,0.0,0.7,30.5,6.7,9.7,9464.88628069769,0.6910281183611042,1.5006737213987233
2021-03-05,MINE_01,3,1,Friday,2634.0,1785.0,18,18,16,4,3,2,100.0,75.0,84.2,95.5,0.1,1.3,0,0,0.2,4.01,9.8,5.6,4.3,2.2,27.2,42,5.3,0.3,21.1,19.5,92.6,77.1,87.3,0.0,1.2,72.3,0.0,0.5,27.6,5.1,9.4,9591.20803487443,0.6844560868359895,1.3678139839375087
2021-03-06,MINE_01,3,1,Saturday,2775.0,2438.0,18,17,16,4,4,3,94.4,100.0,89.8,87.8,1.3,0.4,0,0,0.5,4.48,8.3,7.2,5.1,2.1,23.2,47,0.5,0.1,20.6,20.3,98.7,80.8,85.0,0.0,0.0,43.5,0.0,0.3,30.9,5.9,4.3,9482.79906769418,0.638571984921961,1.537538733884222
2021-03-07,MINE_01,3,1,Sunday,2520.0,1515.0,18,18,16,4,3,2,100.0,75.0,80.1,80.7,0.4,9.3,0,1,1.5,4.64,12.2,8.5,4.0,1.4,31.9,36,5.7,0.3,23.2,20.0,86.3,81.5,67.7,0.0,1.4,71.3,0.0,0.7,29.4,8.5,13.6,15680.225820065967,0.681108111291953,1.1982650603416567
2021-03-10,MINE_01,3,1,Wednesday,2728.0,2809.0,18,18,18,4,4,3,100.0,100.0,94.7,96.0,1.1,0.2,0,0,0.5,4.43,11.0,7.6,3.8,1.5,27.0,52,3.1,0.1,22.7,22.4,98.9,82.4,82.8,0.0,0.0,61.0,0.0,0.6,30.6,10.5,12.1,10486.780466830634,0.7050362185047098,1.2264277252139704
2021-03-12,MINE_01,3,1,Friday,2482.0,2242.0,18,16,14,4,4,3,88.9,100.0,74.4,90.6,7.6,1.0,1,0,0.7,3.83,8.8,6.2,4.2,1.9,22.0,39,0.9,0.1,20.1,19.5,97.1,79.9,84.6,0.0,0.0,73.2,0.0,0.4,30.7,12.4,6.1,14409.459780427069,0.6621722152707711,1.4544871285016807
2021-03-13,MINE_01,3,1,Saturday,2746.0,2398.0,18,18,17,4,4,3,100.0,100.0,81.1,96.1,0.9,0.0,0,0,0.4,4.0,8.9,6.7,4.2,2.1,25.4,47,3.5,0.2,23.8,22.7,95.5,72.8,81.0,0.0,0.8,70.8,0.0,0.1,30.7,12.0,9.3,7536.414738665846,0.7011929713936715,1.3171394362048694
2021-03-14,MINE_01,3,1,Sunday,3006.0,2170.0,18,18,15,4,3,2,100.0,75.0,91.7,90.1,0.0,1.2,0,0,0.3,4.43,9.7,6.3,3.8,1.6,27.3,45,5.9,0.2,23.0,22.7,98.6,86.3,89.2,0.0,0.0,62.3,0.0,1.7,31.2,10.4,3.9,9059.49514069159,0.6329581717350702,1.3701997445377387
2021-03-15,MINE_01,3,1,Monday,3201.0,2028.0,18,18,17,4,4,3,100.0,100.0,91.0,78.4,0.6,0.1,0,0,0.4,4.42,12.6,8.2,5.7,2.0,30.3,41,1.9,0.1,23.4,21.3,91.3,77.6,89.6,0.7,1.1,59.9,0.0,0.8,31.2,9.0,11.1,12351.821220013822,0.6821031904498858,1.3401418586273857
2021-03-16,MINE_01,3,1,Tuesday,2506.0,2240.0,18,18,16,4,3,3,100.0,75.0,91.2,93.0,0.1,5.1,0,0,0.8,4.12,8.6,6.6,3.1,2.1,22.4,51,2.0,0.2,21.7,20.7,95.6,76.4,82.4,0.0,0.0,82.7,0.0,0.5,33.9,7.3,11.5,12463.610597987758,0.7395789037963869,1.6236589971226003
2021-03-17,MINE_01,3,1,Wednesday,2987.0,2116.0,18,17,16,4,4,3,94.4,100.0,79.7,92.8,3.9,0.7,1,0,0.5,4.74,11.6,8.0,5.8,1.8,28.2,36,0.9,0.1,20.9,18.7,89.2,71.4,77.9,1.9,0.0,52.2,0.0,0.1,31.7,7.2,10.0,12486.91211254659,0.7445025819321336,1.6340795007460793
2021-03-18,MINE_01,3,1,Thursday,2737.0,1725.0,18,18,18,4,4,3,100.0,100.0,69.5,82.9,0.6,0.6,0,0,0.1,4.42,11.2,8.2,5.0,1.5,29.8,40,3.9,0.4,20.8,19.8,95.5,76.6,85.0,0.7,0.0,56.3,0.0,0.2,31.8,5.2,10.6,11492.250566210387,0.7497588825076829,1.2477357620975553
2021-03-20,MINE_01,3,1,Saturday,2726.0,1653.0,18,18,15,4,3,2,100.0,75.0,95.8,100.0,0.1,9.1,0,1,0.7,3.89,9.9,6.5,5.1,1.4,28.1,33,5.0,0.3,20.9,17.8,84.9,79.4,79.3,1.7,0.0,59.1,0.0,0.0,30.8,6.3,9.1,10414.978160988705,0.6924477610842619,1.0209950448321585
2021-03-21,MINE_01,3,1,Sunday,2217.0,2067.0,18,18,14,4,4,3,100.0,100.0,87.4,82.9,0.0,1.0,0,0,0.4,4.51,12.7,8.4,4.8,2.0,28.2,37,0.2,0.2,22.6,22.3,98.6,80.5,83.1,0.0,0.0,70.4,0.0,1.2,32.4,10.4,14.7,8725.290722485577,0.6784802657526275,1.2306695340327767
2021-03-22,MINE_01,3,1,Monday,2489.0,3069.0,18,18,16,4,4,3,100.0,100.0,91.0,84.1,0.1,0.3,0,0,0.1,4.09,8.6,6.3,4.5,1.5,23.7,54,2.9,0.1,24.0,23.9,99.5,81.7,79.8,0.0,0.0,67.8,0.0,0.7,30.5,14.9,12.7,13200.345290689482,0.6520581078466837,1.1935768848967132
2021-03-23,MINE_01,3,1,Tuesday,2530.0,2273.0,18,18,17,4,4,3,100.0,100.0,82.2,98.0,0.3,0.0,0,0,0.3,4.37,12.6,7.2,5.9,1.9,31.0,42,3.3,0.3,23.1,22.9,99.1,74.2,81.9,0.0,0.0,63.2,0.0,0.0,33.7,7.4,12.6,11693.929558180416,0.5773298366269936,1.5393185823701194
2021-03-24,MINE_01,3,1,Wednesday,2704.0,2113.0,18,18,16,4,4,3,100.0,100.0,87.7,80.9,0.5,0.6,0,0,0.1,4.34,9.0,6.5,5.2,1.8,23.2,50,0.7,0.1,23.1,21.8,94.4,70.2,76.6,1.1,0.0,60.0,0.0,0.6,30.1,5.4,1.6,9833.543771960309,0.6027720149334244,1.5570684095651965
2021-03-26,MINE_01,3,1,Friday,2839.0,2569.0,18,17,17,4,4,3,94.4,100.0,78.1,88.2,4.2,0.3,0,0,0.7,4.01,8.2,7.0,4.3,1.0,24.0,44,3.6,0.2,21.6,19.4,90.0,87.8,84.9,1.7,0.0,73.8,0.0,0.4,31.2,12.4,4.9,9288.651781120116,0.6674984747773622,1.1667540776027092
2021-03-27,MINE_01,3,1,Saturday,2514.0,1495.0,18,16,15,4,3,2,88.9,75.0,85.1,83.9,17.7,3.7,1,0,2.4,4.4,11.4,6.8,3.8,1.8,28.6,36,4.8,0.4,21.6,19.7,91.4,82.6,88.1,0.0,0.0,87.4,0.0,7.9,29.9,3.1,8.3,7768.632700538881,0.6707856335333878,1.222067962499335
2021-03-28,MINE_01,3,1,Sunday,2793.0,2875.0,18,18,17,4,4,3,100.0,100.0,92.5,88.3,0.7,0.2,0,0,0.2,4.36,11.1,8.1,5.1,1.7,27.2,45,1.2,0.1,22.5,22.4,99.4,89.4,80.7,0.0,0.0,83.3,0.0,0.4,33.2,12.7,15.5,11862.236112807974,0.7544137648198086,1.0771666967592837
2021-03-29,MINE_01,3,1,Monday,2388.0,1797.0,18,16,13,4,3,2,88.9,75.0,74.9,82.7,6.3,4.6,0,0,1.1,4.16,9.9,7.5,4.7,1.5,26.7,31,3.1,0.1,20.9,19.8,94.7,82.9,88.2,0.0,0.0,53.0,0.0,1.0,32.1,3.2,5.5,13248.19414768812,0.7490554503511109,1.3998446189148568
2021-03-31,MINE_01,3,1,Wednesday,2418.0,3114.0,18,18,16,4,4,3,100.0,100.0,100.0,100.0,0.0,0.8,0,0,0.2,4.48,10.1,7.5,4.8,1.4,24.2,49,0.5,0.2,23.8,23.5,99.0,84.9,88.7,0.0,0.0,67.5,0.0,0.4,33.9,11.1,14.4,10998.403963313554,0.6389847604536893,1.3639856287268228
2021-04-01,MINE_01,4,2,Thursday,2774.0,1509.0,18,18,17,4,4,3,100.0,100.0,79.4,83.3,0.0,0.5,0,0,0.0,4.38,11.3,9.9,5.1,2.4,31.2,38,2.4,0.3,21.9,19.8,90.4,74.7,85.8,1.9,0.0,59.5,0.0,0.1,31.7,6.3,10.0,9841.962366494427,0.7217494125653475,1.5307932776980904
2021-04-04,MINE_01,4,2,Sunday,2784.0,3261.0,18,18,17,4,4,4,100.0,100.0,84.2,93.4,0.3,0.4,0,0,0.2,4.77,11.4,8.9,4.8,1.7,26.7,46,0.0,0.1,21.6,21.0,97.3,79.1,82.4,0.0,0.4,71.2,0.0,0.8,34.0,10.1,0.4,12556.61206107094,0.6505027106838864,1.4723951731221911
