latitude,longitude,geological_group,geological_formation,stratigraphic_unit,lithology,metamorphic_grade,weathering_class,fold_position,structural_orientation
21.54561,79.7039,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,hinge/closure,E-W
21.69069,79.8682,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,highly weathered / lateritic,not_applicable,NW-SE
21.45577,79.73607,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),highly weathered / lateritic,limb,N-S
21.96476,80.52039,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),moderately weathered,limb,ENE-WSW
21.83038,80.22727,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.98953,80.5018,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.51664,79.76912,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),high (upper amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.77382,79.80202,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,not_applicable,NNE-SSW
21.51749,79.82247,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.70346,79.75478,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),moderately weathered,not_applicable,NNE-SSW
21.60427,79.71332,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,moderately weathered,not_applicable,NNE-SSW
21.52762,79.6975,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.52087,79.77561,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,low (greenschist),highly weathered / lateritic,limb,N-S
21.81923,80.2511,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),moderately weathered,not_applicable,NNE-SSW
21.98448,80.49152,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,high (upper amphibolite),fresh / slightly weathered,limb,NNE-SSW
21.82567,80.15314,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),fresh / slightly weathered,not_applicable,NNE-SSW
21.78921,80.17422,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),highly weathered / lateritic,not_applicable,NNE-SSW
21.74764,80.08175,Tirodi Gneissic Complex,Tirodi Gneiss,,"Biotite gneiss (potassic, migmatitic)",low (greenschist),highly weathered / lateritic,limb,ENE-WSW
21.80484,80.02183,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.51218,79.63866,Sausar Group,Bichua Formation,,Marble and calc-silicate rock,medium (lower amphibolite),moderately weathered,not_applicable,NW-SE
21.69572,79.74174,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.65818,79.73055,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",low (greenschist),moderately weathered,limb,NW-SE
21.97971,80.48005,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,fresh / slightly weathered,not_applicable,NW-SE
21.84,80.24495,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.80993,80.19919,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,not_applicable,E-W
21.9549,80.46306,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),moderately weathered,limb,NW-SE
21.82657,80.23346,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",high (upper amphibolite),highly weathered / lateritic,limb,ENE-WSW
21.81495,80.01812,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.73556,79.7293,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium,medium (lower amphibolite),fresh / slightly weathered,not_applicable,E-W
21.52004,79.70509,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,not_applicable,NNE-SSW
21.77496,80.01497,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),fresh / slightly weathered,not_applicable,E-W
21.65558,79.72552,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",low (greenschist),highly weathered / lateritic,not_applicable,ENE-WSW
21.62601,79.79415,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",high (upper amphibolite),fresh / slightly weathered,limb,NW-SE
21.86844,80.24855,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),fresh / slightly weathered,not_applicable,NW-SE
21.77616,80.01056,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.79146,80.19958,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,limb,N-S
21.83528,80.23927,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.8319,80.20232,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),fresh / slightly weathered,not_applicable,N-S
21.63689,79.75958,Sausar Group,Sitasaongi Formation,,Quartz-muscovite schist and gneiss,low (greenschist),moderately weathered,not_applicable,NW-SE
21.7691,80.00437,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NW-SE
21.80468,80.00392,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.53459,79.75088,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,highly weathered / lateritic,limb,E-W
21.96703,80.44759,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,granulite facies,highly weathered / lateritic,not_applicable,ENE-WSW
21.86018,80.08026,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),high (upper amphibolite),moderately weathered,not_applicable,E-W
21.72233,80.15083,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",high (upper amphibolite),moderately weathered,not_applicable,E-W
21.68264,80.04334,Tirodi Gneissic Complex,Tirodi Gneiss,,"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,NW-SE
22.01717,80.42296,Tirodi Gneissic Complex,Tirodi Gneiss,,"Biotite gneiss (potassic, migmatitic)",granulite facies,highly weathered / lateritic,not_applicable,N-S
21.73754,79.87415,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,limb,NNE-SSW
21.57145,79.73643,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.7066,79.83664,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),fresh / slightly weathered,not_applicable,E-W
21.94179,80.47186,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),moderately weathered,limb,NNE-SSW
21.66257,79.82051,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,fresh / slightly weathered,not_applicable,NW-SE
21.7741,80.03479,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,granulite facies,moderately weathered,not_applicable,ENE-WSW
21.65615,79.76162,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),moderately weathered,not_applicable,ENE-WSW
21.85171,80.23005,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.66462,79.68112,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",,fresh / slightly weathered,limb,NW-SE
21.52301,79.63468,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,high (upper amphibolite),fresh / slightly weathered,not_applicable,ENE-WSW
21.74613,80.24283,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium,medium (lower amphibolite),moderately weathered,not_applicable,E-W
21.77684,80.18662,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),fresh / slightly weathered,limb,NNE-SSW
21.85247,80.22799,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.83181,80.24103,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),moderately weathered,not_applicable,NW-SE
21.76782,80.03603,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),moderately weathered,not_applicable,NNE-SSW
21.96303,80.49208,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,granulite facies,fresh / slightly weathered,limb,ENE-WSW
21.5581,79.72519,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.77566,80.07845,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.65736,79.7371,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",high (upper amphibolite),moderately weathered,not_applicable,N-S
21.52178,79.73127,Sausar Group,,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),highly weathered / lateritic,limb,NW-SE
21.8435,80.22277,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,limb,NNE-SSW
21.78465,80.19376,Sausar Group,Junewani Formation,,Biotite-muscovite schist/gneiss and biotite granulite,high (upper amphibolite),fresh / slightly weathered,limb,NNE-SSW
21.78242,80.18467,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),fresh / slightly weathered,not_applicable,ENE-WSW
21.77636,80.01348,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,not_applicable,NW-SE
21.96954,80.4975,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),fresh / slightly weathered,limb,NNE-SSW
21.84852,80.23103,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,low (greenschist),highly weathered / lateritic,not_applicable,N-S
21.95107,80.45365,Sausar Group,Mansar Formation,,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.83397,80.16561,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,medium (lower amphibolite),highly weathered / lateritic,limb,E-W
21.80301,79.9294,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,E-W
21.98433,80.46043,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.71482,79.71103,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,highly weathered / lateritic,not_applicable,NW-SE
21.6973,79.71537,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,,NNE-SSW
21.72281,79.85808,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",granulite facies,highly weathered / lateritic,not_applicable,N-S
21.70495,79.82264,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.76155,80.17648,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),granulite facies,moderately weathered,not_applicable,ENE-WSW
21.8449,80.1637,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),moderately weathered,not_applicable,ENE-WSW
21.56305,79.79795,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,limb,NNE-SSW
21.56188,79.71657,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.84498,80.24802,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,fresh / slightly weathered,not_applicable,NW-SE
21.5466,79.70433,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),moderately weathered,not_applicable,NNE-SSW
21.52068,79.68232,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,,moderately weathered,limb,NNE-SSW
21.85238,79.92161,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),high (upper amphibolite),highly weathered / lateritic,not_applicable,N-S
21.96237,80.43093,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,moderately weathered,not_applicable,ENE-WSW
21.87644,80.27638,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),highly weathered / lateritic,not_applicable,N-S
21.73662,80.16187,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),moderately weathered,limb,NW-SE
21.53053,79.8015,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),moderately weathered,not_applicable,E-W
22.05343,80.55298,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,NNE-SSW
21.8445,80.23437,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),moderately weathered,not_applicable,E-W
21.66786,79.71556,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,medium (lower amphibolite),highly weathered / lateritic,limb,E-W
21.748,79.87117,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,not_applicable,N-S
21.85344,80.24517,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,fresh / slightly weathered,not_applicable,ENE-WSW
21.52684,79.73892,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,fresh / slightly weathered,limb,NW-SE
21.51966,79.71675,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",low (greenschist),fresh / slightly weathered,not_applicable,ENE-WSW
21.62481,79.76177,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,low (greenschist),highly weathered / lateritic,not_applicable,NNE-SSW
21.74142,79.8794,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,high (upper amphibolite),fresh / slightly weathered,not_applicable,ENE-WSW
21.7224,79.84854,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.69431,79.84808,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,moderately weathered,not_applicable,E-W
21.77177,80.14832,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,ENE-WSW
21.64294,79.67218,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium,high (upper amphibolite),moderately weathered,not_applicable,N-S
21.945,80.44968,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",high (upper amphibolite),moderately weathered,limb,NNE-SSW
21.66892,79.7459,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,,highly weathered / lateritic,not_applicable,ENE-WSW
21.78637,80.15144,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),moderately weathered,limb,N-S
21.80374,80.17741,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),moderately weathered,not_applicable,N-S
21.69865,79.85231,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),highly weathered / lateritic,limb,NW-SE
21.91661,80.22625,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,fresh / slightly weathered,not_applicable,NNE-SSW
21.51759,79.69609,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),fresh / slightly weathered,not_applicable,E-W
21.68421,79.72057,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.65236,79.84509,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),fresh / slightly weathered,limb,N-S
21.77829,80.16057,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.57219,79.73368,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),fresh / slightly weathered,not_applicable,ENE-WSW
21.98655,80.41936,Sausar Group,Mansar Formation,,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,moderately weathered,not_applicable,NNE-SSW
21.79922,80.22424,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,fresh / slightly weathered,not_applicable,NNE-SSW
21.97637,80.43787,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,,fresh / slightly weathered,not_applicable,NW-SE
21.97619,80.48103,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,granulite facies,moderately weathered,not_applicable,NNE-SSW
21.5567,79.6876,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,limb,ENE-WSW
21.72241,79.80943,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.98936,80.51158,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.8033,80.26523,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),fresh / slightly weathered,limb,N-S
21.6789,79.71339,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.99261,80.43797,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,medium (lower amphibolite),moderately weathered,not_applicable,NW-SE
21.80423,80.2081,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,fresh / slightly weathered,not_applicable,NW-SE
21.5334,79.59528,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),high (upper amphibolite),fresh / slightly weathered,not_applicable,NW-SE
21.55325,79.67158,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,ENE-WSW
